주차장명,주차면수,운영시간,당일최고요금,주차요금,주 소,전화번호,비고
무진장방면 만남의 광장,75면,24시간,무료,무료,전주시 덕진구 금상길27,,무료주차장
군산?익산 만남의 광장,52면,24시간,무료,무료,전주시 덕진구 번영로 453,,무료주차장
인후3동 진버들 ,106면,24시간,무료,무료,전주시 덕진구 진버들5길 15,,무료주차장
태평동,24면,24시간,무료,무료,전주시 완산구 태진로 17,,무료주차장
인후1동 안골,32면,24시간,무료,무료,전주시 덕진구 팽나무4길 11,,무료주차장
인후2동 금평,26면,24시간,무료,무료,전주시 덕진구 명주1길 9,,무료주차장
인후2동 건지,26면,24시간,무료,무료,전주시 덕진구 백동로 14-7,,무료주차장
남노송동,24면,24시간,무료,무료,전주시 완산구 관산3길17-6,,무료주차장
서부신시가지 봉곡,30면,24시간,무료,무료,전주시 완산구 봉곡1길 42,,무료주차장
서부신시가지 마전,44면,24시간,무료,무료,전주시 완산구 문학대5길 31-3,,무료주차장
서부신시가지 산마을오리정,34면,24시간,무료,무료,전주시 완산구 마전1길 12-3,,무료주차장
서부신시가지 보훈청,43면,24시간,무료,무료,전주시 완산구 바우배기1길 13-16,,무료주차장
서부신시가지 신한은행,32면,24시간,무료,무료,전주시 완산구 바우배기2길 27,,무료주차장
서부신시가지 롯데마트뒤,42면,24시간,무료,무료,전주시 완산구 홍산북로 13,,무료주차장
서부신시가지 도청사거리,20면,24시간,무료,무료,전주시 완산구 석산2길 7,,무료주차장
서부신시가지 엘드@,24면,24시간,무료,무료,전주시 완산구 범안1길 7-27,,무료주차장
서부신시가지 전주대원룸옆,17면,24시간,무료,무료,전주시 완산구 봉곡2길 17-4,,무료주차장
서부신시가지 서곡방면,28면,24시간,무료,무료,전주시 완산구 황강서원1길 7,,무료주차장
서부신시가지 예다움원룸,32면,24시간,무료,무료,전주시 완산구 배학5길 7,,무료주차장
서부신시가지 전주대신정문,22면,24시간,무료,무료,전주시 완산구 농소6길 3-5,,무료주차장
서부신시가지 KBS옆,20면,24시간,무료,무료,전주시 완산구 석산1길 12,,무료주차장
서부신시가지 전북경찰청옆,34면,24시간,무료,무료,전주시 완산구 마전3길 12,,무료주차장
서부신시가지 여명교회뒤,32면,24시간,무료,무료,전주시 완산구 척동4길 16-8,,무료주차장
우아2동 아중택지개발지구,80면,24시간,무료,무료,전주시 덕진구 산정1길 18,,무료주차장
우아1동 홈플러스 뒤,88면,24시간,무료,무료,전주시 덕진구 우아1길 26,,무료주차장
"정읍,고창방면 만남의 광장",84면,24시간,무료,무료,전주시 완산구 쑥고개로 251,,무료주차장
서신동 서신지구대,28면,24시간,무료,무료,전주시 완산구 새터로 46,,무료주차장
고사동 전주영화제작소,14면,24시간,무료,무료,전주시 완산구 전주객사3길 22,,무료주차장
서서학동 주민자치센터,17면,24시간,무료,무료,전주시 완산구 팔달로 39-21,,무료주차장
하가지구 리드빌딩,28면,24시간,무료,무료,전주시 덕진구 가련산로 20,,무료주차장
하가지구 소소빌딩 뒤,27면,24시간,무료,무료,전주시 덕진구 가리내3길 16-1,,무료주차장
송천1동 송천도서관,34면,24시간,무료,무료,전주시 덕진구 솔내로 212,,무료주차장
송천2동 주민자치센터,17면,24시간,무료,무료,전주시 덕진구 두간22길 5,,무료주차장
송천2동 용소초교,17면,24시간,무료,무료,전주시 덕진구 송천3길 30-34,,무료주차장
송천2동 공원,13면,24시간,무료,무료,전주시 덕진구 두간5길 9,,무료주차장
하가지구 하가홈마트 뒤,28면,24시간,무료,무료,전주시 덕진구 가리내8길 19,,무료주차장
하가지구 초담불고기 뒤,29면,24시간,무료,무료,전주시 덕진구 가리내5길 19,,무료주차장
하가지구 풍경안경원 옆,28면,24시간,무료,무료,전주시 덕진구 가리내10길 12-1,,무료주차장
하가지구 나그네교회 앞,29면,24시간,무료,무료,전주시 덕진구 가리내1길 14,,무료주차장
인후공원,64면,24시간,무료,무료,전주시 덕진구 안덕원3길 10,,무료주차장
서신동 에덴교회,28면,24시간,무료,무료,전주시 완산구 고사평 1길 3,,무료주차장
한옥마을 치명자산성지 옆,"1,000면",24시간,무료,무료,전주시 완산구 바람쐬는길 133,,무료주차장
송천2동 시영아파트 앞,170면,24시간,무료,무료,전주시 덕진구 와룡로 97-14,,무료주차장
남노송동 병무청,27면,24시간,무료,무료,전주시 완산구 관선3길 8-4,,무료주차장
인후2동 용수마을,11면,24시간,무료,무료,전주시 덕진구 거북바우로 124-15 ,,무료주차장
월드컵경기장,"4,181면",24시간,무료,무료,전주시 덕진구 기린대로 1055,,무료주차장
화산체육관,343면,24시간,무료,무료,전주시 완산구 백제로310,,무료주차장
완산수영장,210면,24시간,무료,무료,전주시 완산구 쑥고개로366-7,,무료주차장
덕진공원,70면,24시간,무료,무료,전주시 덕진구 권삼득로 390,,무료주차장
