시설장명,시설현황,운영시간,전용 사용료(대관 사용료),시설 입장료,대여료,주 소,전화번호,비고
덕진수영장,- 경영풀 : 10레인(50m×25m),"- 평일 : 06:00 ~ 20:00- 토요일 : 06:00 ~ 17:00- 일요일 : 10:00 ~ 17:00- 공휴일 : 10:00 ~ 17:00",,"- 이용료(개인)  성인 : 3,000  청소년, 군인 : 2,500  어린이, 노인 : 2,200  유 아 : 1,000- 이용료(단체 20명 이상 30% 할인)",,전주시 덕진구 들사평로 50,063-239-2650,
덕진체련공원 족구장,"- 국제규격 : 2면- 일반규격 : 6면","- 운영시간  06:00 ~ 22:00- 하절기(6월 ~ 8월)  06:00 ~ 22:00- 동절기(12월 ~ 2월)  09:00 ~ 18:00","- 전용사용료(2시간) : 5,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 덕진구 소리로 54,063-239-2631,
덕진체련공원 농구장,"- 2면 : 32m×19m(1,216㎡) ",- 06:00 ~ 22:00,#NAME?,,,전주시 덕진구 소리로 54,063-239-2631,
 덕진체련공원 테니스장,"- 10면 : 23.77M×10.97m(4,410㎡)- 인조잔디",- 05:00 ~ 22:00,"- 전용사용료  체육경기(1회 4시간) : 10,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 이용료(개인)  주간 : 2,000  야간 : 3,000  조명사용시 : 6,000",,전주시 덕진구 소리로 54,063-239-2631,
덕진체련공원 축구장,"- 2면 : 100m×64m- 인조잔디","- 05:00 ~ 23:00   매월 마지막주 월요일 휴장","- 전용사용료(2시간) : 30,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 덕진구 소리로 54,063-239-2632,
덕진체련공원 실내배드민턴장,"- 코트16면(대회용 6면) : 13.4m×6.1m- 노면 : 단풍나무",- 06:00 ~ 21:30,"- 전용사용료(2시간)  체육경기 : 80,000  체육경기 외 : 250,000    ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 이용료(개인)  성인 : 1,000  경로우대자 : 500  장애우 : 500",,전주시 덕진구 소리로 54,063-239-2573,
덕진체련공원 풋살구장,"- 1면 : 40m×20m- 1면 : 43m×22m- 인조잔디",- 06:00 ~ 22:00,"- 전용사용료(1시간) : 10,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 덕진구 소리로 54,063-239-2631,
아중체련공원 축구장,"- 1면 : 100m×61m- 인조잔디",- 06:00 ~ 22:00,"- 전용사용료(2시간) : 30,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 덕진구 한배미6길 23,063-239-2564,
아중체련공원 풋살구장,"- 1면 : 34m×25m- 인조잔디",- 06:00 ~ 22:00,"- 전용사용료(1시간) : 10,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 덕진구 한배미6길 23,063-239-2564,
아중체련공원 족구장,"- 2면 : 16m×24m- 복합 탄성 포장",- 06:00 ~ 22:00,"- 전용사용료(2시간) : 5,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 덕진구 한배미6길 23,063-239-2564,
완산생활체육공원 축구장,"- 1면 : 105m×68m- 인조잔디",- 05:00 ~ 23:00,"- 전용사용료(2시간) : 30,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 완산구 모악산자락길 22,063-239-2569,
완산생활체육공원 유소년축구장,"- 1면 : 80m×54m- 인조잔디",- 05:00 ~ 23:00,"- 전용사용료(2시간) : 20,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 완산구 모악산자락길 22,063-239-2569,
완산생활체육공원 야외테니스장,"- 36.77m×18.97m- 6면 : 클레이- 10면 : 케미컬",- 06:00 ~ 22:00,"- 전용사용료(4시간) : 10,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 이용료(개인)  주간 : 2,000  야간 : 3,000  조명사용시 : 6,000",,전주시 완산구 모악산자락길 22,063-239-2566,
완산생활체육공원 실내테니스장,- 4면 : 인조잔디,- 06:00 ~ 22:00,"- 전용사용료(2시간) : 20,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 완산구 모악산자락길 22,063-239-2566,
완산생활체육공원 그라운드 골프장,"- 천연잔디 1면- 인조잔디 1면",- 06:00 ~ 22:00,#NAME?,,,전주시 완산구 모악산자락길 22,063-239-2566,
완산생활체육공원 배구장,"- 2면 : 32m×19m- 탄성포장",- 06:00 ~ 22:00,#NAME?,,,전주시 완산구 모악산자락길 22,063-239-2566,
완산생활체육공원 배드민턴장,"- 3면 : 17.4m×10.1m- 탄성포장",- 06:00 ~ 22:00,#NAME?,,,전주시 완산구 모악산자락길 22,063-239-2566,
완산생활체육공원 농구장,"- 2면 : 36m×23m- 탄성포장",- 06:00 ~ 22:00,#NAME?,,,전주시 완산구 모악산자락길 22,063-239-2566,
완산생활체육공원 인공암벽장,"- 30m(폭)×17m(높이)- 국제규격 : 3개소- 어린이 : 1개소- 단계별 : 12코스","- 화~금 : 10:00 ~ 19:00- 토~일 : 09:00 ~ 18:00","- 전용사용료(1시간) : 10,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 이용료(개인 2시간) : 1,000",,전주시 완산구 모악산자락길 22,063-239-2617,
완산생활체육공원 족구장,"- 1면 : 35m×26.5m- 4면 : 35m×19m- 복합 탄성 포장","- 06:00 ~ 일몰전까지  (조명시설 없음)","- 전용사용료(2시간) : 5,000   ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 완산구 모악산자락길 22,063-239-2566,
실내체육관,"- 연면적 : 6,800㎡ - 바닥면적 : 1,616㎡ ",- 09:00 ~ 18:00,"- 전용사용료(8시간)  체육경기 : 40,000  체육경기 외 : 150,000    ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도",,,전주시 덕진구 권삼득로 308 ,063-239-2558,"-10월 ~ 04월 프로농구 대관  (KCC프로농구단 전용사용) - 04월 ~ 09월 일반대관   (각종 행사 및 일반스포츠 경기)"
실내게이트볼 전용구장,"- 부지면적 : 5,700㎡- 건축면적 : 3,587㎡","- 3월~10월 : 07:30 ~ 18:00 - 11월~2월 : 07:30 ~ 16:30",#NAME?,,,전주시 덕진구 대학로 344,063-274-1813,
인라인롤러 경기장,"- 실내 : 125m 트랙, 6m 주폭- 실외 : 200m 트랙, 8m 주폭","- 평일 : 06:00 ~ 21:30- 주말 : 06:00 ~ 20:00","- 전용사용료(8시간)  체육경기 : 50,000  체육경기 외 : 100,000    ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 이용료(개인 3시간당)  성인 : 1,000  청소년 : 800  어린이 : 700","- 스케이트 대여비  어른 : 2,000  청소년 : 2,000  어린이 : 2,000",전주시 덕진구 조경단로 258-19,063-239-2634,
전주 승마장,"- 실외마장 : 85m×65m(원형마장)- 실내마장 : 72m×25m(강습트랙)- 마사 : 3동 68방","- 4월~10월 : 09:00 ~ 19:00 - 11월~3월 : 09:00 ~ 17:00",,"- 이용료(개인 3시간당) : 2,000",,전주시 덕진구 호성로 19,063-239-2695,
자전거 경륜장,"- 면적 : 13,636㎡  -트랙폭 : 9m- 경사도 : 6˚~36˚ ",- 09:00 ~ 18:00,"- 전용사용료(8시간)  체육경기 : 50,000  체육경기 외 : 100,000    ※ 공휴일 및 야간 50% 가산   ※ 부대시설사용료 별도","- 이용료(개인 2시간당) : 1,000",,전주시 완산구 백마산길 22-14 ,063-239-2602,
론볼장,"- 면적 : 2,000㎡ (8코스)","-3월~10월 : 09:00~18:00-11월~2월 : 09:00~16:30",#NAME?,,,전주시 덕진구 대학로 344,063-274-1813,
