기관명,사회서비스분야,주된목적,사업내용,인증일자,인증번호,전화번호,소재지도로명주소,데이터기준일자
(사)마당,문화예술,기타형,문화전문월간지발행 문화관광분야 기획,2012-12-14(2012-132),2011-03-16,273-4824,"전주시 완산구 현무3길 98, 2층 (서노송동, 종각빌딩)",2020-10-31
(유)페넥스,환경,일자리제공,"방역소독, 위생토탈용품 판매, 맞춤매트 사업",2013-07-11(2013-96),2012-03-05,287-2210,전주시 완산구 전주천동로 224 (다가동3가),2020-10-31
(유)국민종합주택관리,기타,일자리제공,"공동주택관리, 학교시설관리(방호, 경비, 청소 등)",2013-07-11(2013-98),2011-09-15,286-3348,전주시 덕진구 과학로 238(전미동1가),2020-10-31
(유)나눔마켓러브레드,식품(음식),일자리제공,"전주한옥초코파이 제작 및 판매, 제빵기술교육",2013-09-09(2013-142),2011-09-15,227-7790,전주시 덕진구 상리1길 7 (팔복동2가),2020-10-31
(주)큰사람아카데미,교육,일자리제공,방과후학교 위탁운영(전북대),2013-11-08(2013-192),2012-03-05,270-5913,"전주시 덕진구 떡전5길 22, 전북대학교 산학협력단 별관 104호",2020-10-31
(주)제이피썸,식품(음식),일자리제공,"식품제조 및 가공·판매, 김부각 제조",2014-03-13(2014-38),2012-03-05,228-4141,전주시 완산구 평화로 213 (평화동1가),2020-10-31
(유)함께하는 사람들,환경,일자리제공,"재활용 의류, 신발 수거 및 수출",2014-03-13(2014-39),2012-03-05,229-9612,전주시 완산구 원당길 3-75 (원당동),2020-10-31
(주)두드림,교육,일자리제공,방과후학교 위탁운영(전주대),2014-06-30(2014-113),2012-03-05,220-2269,"전주시 완산구 천잠로 303 (효자동2가, 전주대학교 평안의집)",2020-10-31
전주의료복지사회적협동조합,보건,기타형,"보건 의료사업(한의원, 재가장기요양기관)",2014-09-19(2014-161),,221-0525,"전주시 완산구 모악로 4750, 3층(평화동1가)",2020-10-31
(유)오병이어,제조,일자리제공,"치약칫솔PPK, 봉제사업, 의류사업(위탁제작)",2014-11-19(2014-188),2012-09-15,211-5022,전주시 덕진구 구렛들2길 53 (팔복동1가),2020-10-31
전주합굿마을문화생산자협동조합,문화예술,일자리제공,"전통기반 문화컨텐츠(공연, 체험, 공예품)생산 및 판매",2014-12-16(2014-252),2013-03-15(전북2013-21),236-1577,전주시 완산구 충경로 125-28 (경원동3가),2020-10-31
제이비영상,교육,일자리제공,"자연음식강좌, 식생활교육 체험관, 향토 자연음식 자료 연구",2014-12-16(2014-249),2013-03-15(전북2013-23),273-3555,"전주시 덕진구 매봉로 40, 상가1층 (금암동, 두산그랜드타운)",2020-10-31
(유)중앙환경기업,환경,일자리제공,의료복지용구 제작 설치 및 유통사업,2014-12-16(2014-248),2013-03-15(전북2013-24),251-6060,전주시 덕진구 무삼지4길 16 (인후동1가),2020-10-31
㈜아름다운동행,기타,일자리제공,아름다운 同行 프로젝트(장례대행서비스),2014-12-16(2014-251),2013-03-15(전북2013-25),907-1332,전주시 완산구 모악로 4429 ,2020-10-31
㈜애니설리반학교,"교육, 관광",일자리제공,"방과후학교 위탁운영(우석대), 여행업",2015-03-31(2015-043),2013-03-15(전북2013-36),255-3085,"전주시 덕진구 기린대로 418, 8층 (금암동, 전북일보사)",2020-10-31
(유)도우누리 전주온케어,간병,사회서비스제공,"돌봄, 간병, 리빙케어서비스",2015-09-22(2015-185),2013-12-10(보복2013-5),287-9771,"전주시 완산구 현무3길 98, 4층 (서노송동, 종각빌딩)",2020-10-31
협동조합 온리,제조,기타형,폐종이 친환경상품 제조 및 판매,2015-09-22(2015-187),"2014-03-10(전북2014-2,환경2014-5)",282-0028,"전주시  완산구 풍남문4길 25, 3층(중앙동4가)",2020-10-31
(유)다올,기타,일자리제공,"각종 디자인 및 인쇄, 출판 등",2015-11-20(2015-242),2014-09-03(전북2014-12),905-8235f.905-8236,전주시 덕진구 모래내3길 27 (금암동),2020-10-31
㈜나인커뮤니케이션,기타,일자리제공,"각종 디자인 및 인쇄, 출판 등",2015-11-20(2015-245),2014-03-10(전북2014-4),222-6870,"전주시 완산구 현무3길 98, 5층 (서노송동, 종각빌딩)",2020-10-31
㈜휴먼제이앤씨,기타,사회서비스제공,취약계층 고용서비스 및 취업알선,2015-11-20(2015-246),2014-09-03(전북2014-11),246-7589f.244-2529,전주시 덕진구 팔달로 354 (진북동),2020-10-31
협동애 로컬푸드 협동조합,"판매,유통",일자리제공,협동애 로컬푸드 직매장 운영(식자재 납품),2015-11-20(2015-247),2014-09-03(전북2014-15),1577-1142,전주시 완산구 서신천변15길 5 (서신동),2020-10-31
예술기획 My Stage,문화예술,혼합형,"공연기획·대행, 다자인 및 인쇄, 출판 등",2015-12-28(2015-287),2014-03-10(전북2014-3),282-6178,"전주시 완산구 반태산1길 44, 1∼2층(서노송동)",2020-10-31
(사)꿈드래장애인협회,제조,혼합형,"LED 등기구, CCTV, 배전반 등 생산",2016-02-29(2016-030),2015-08-06(전북2015-19),261-7023255-0049(중앙회),"전주시 덕진구 기린대로 451, 1층 (덕진동1가, 종합경기장)꿈드래작업장: 완주군 용진읍 완주로 807-45",2020-10-31
㈜필건축인테리어,환경,일자리제공,저소득층 주거환경개선사업 및 에너지효율개선사업,2016-05-04(2016-065),2014-09-03(전북2014-14),283-9701f.283-9703,전주시 완산구 장승배기로 300 (평화동1가),2020-10-31
(유)이크린월드,환경,일자리제공,"학교, 공공시설물, 아파트 등 청소, 부대시설관리",2016-11-07(2016-211),2014-12-15(보복2014-17),246-8274232-8389,전주시 완산구 상거마4길 21-7(삼천동 1가),2020-10-31
㈜천년누리 푸드,식품(음식),일자리제공,"제과·제빵 및 판매, 한옥체험업",2016-11-07(2016-217),2015-08-06(전북2015-15),227-4883,전주시 완산구 현무3길 91 (서노송동)전주시 완산구 은행로 45 (풍남동3가),2020-10-31
(사)창의예술연구회,교육,사회서비스제공,돌봄 및 방과후학교 등 교육사업,2016-12-27(2016-262),2015-03-17(전북-2015-2),277-7405f.277-7406,"전주시 완산구 전룡로 73, 2층 (서신동)",2020-10-31
소리지존퓨전타악퍼포먼스,문화예술,기타형,"문화예술공연, 교육, 강사양성사업",2016-12-27(2016-263),2015-03-17(전북 2015-3),223-1798,"전주시 완산구 용리로 177, 302동 지하2호 (삼천동1가)",2020-10-31
(사)미래인재문화교육진흥원,교육,사회서비스제공,"자격증 개발 및 보급, 학습멘토링",2017-07-04(2017-110),2015-08-06(전북2015-20),902-9445,"전주시 완산구 서신로 6, 3층 (서신동, 백미빌딩)",2020-10-31
㈜예담공예,제조,일자리제공,한지민속인형제작 및 판매,2017-09-12(2017-158),2014-09-03(전북2014-13),252-7889f.252-1005,"전주시 완산구 서신천변4길 12 (서신동)전주시 완산구 현무1길 20, 2층 17호 (경원동3가, 전통문화전당)",2020-10-31
(주)농업회사법인 하봉마을,식품(음식),일자리제공,"농식품가공, 농촌체험, 각종 김부각 판매 등",2017-09-12(2017-155),2015-08-06(전북2015-17),225-3376,전주시 완산구 중인4길 3-16 (중인동),2020-10-31
(사)예진예술원,문화예술,사회서비스제공,"공연제작 및 기획, 인재양성 교육",2017-12-29(2017-247),2015-08-06(전북2015-16),253-5358,"전주시 완산구 황강서원로 62, 2층 (효자동3가)",2020-10-31
㈜아토큐앤에이,제조,일자리제공,"환경성질환 예방물질 제품개발, 예방교육 등",2017-12-29(2017-249),2016-03-23(전북2016-1),221-8005,전주시 덕진구 호반7길 2 (덕진동2가),2020-10-31
㈜청풍로하스,기타,혼합형,"냉난방기, 세탁기 분해살균 세척",2018-03-082018-033,2016-08-23(전북2016-8),226-7933,"전주시 완산구 계룡산길 81,101호(삼천동2가)",2020-10-31
㈜필코인,제조,일자리제공형,"인쇄업, 지류 및 복사지 도소매, 광고디자인",2018-03-082018-034,,070-5088-3388,전주시 완산구 중산5길 8-14,2020-10-31
한국주거복지 사회적협동조합,환경,사회서비스제공,취약계층주거환경개선사업(전국자활기업),2018-07-03(2018-120),,063-255-0479,"전라북도 전주시 완산구 천잠로 535-3, 1층(효자동3가)",2020-10-31
한울소비자생활협동조합,기타,지역사회공헌형,"지역 친환경농산물 유통, 사회적경제공동판매장 위탁사업",2018-07-03(2018-121),2016-03-23(전북2016-2),251-7688,전주시덕진구 백제대로 518(금암동 791-15),2020-10-31
㈜연을담다,기타,기타형,"한문화 기반 수익형 비즈니스 모델 구축(한스타일웨딩 기획 및 화보제작, 한문화플랫폼 스튜디오 운영)",2018-11-6(2018-252),2016-08-23(전북2016-7),244-3108,"전주시 완산구 홍산북로 46-21, 3층(효자동3가, 성준빌딩)",2020-10-31
(유)비타민 G&P,기타,일자리제공,"기념품, 판촉물, 문구, 인쇄출판",2019-03-01(제2019-047),,063-236-4416,전주시 덕진구 백제대로 612-1(금암동),2020-10-31
쿠미운동발달센터,복지,사회서비스제공,중증운동장애 영유아 운동재활,2019-05-10(제2019-106호),2017-09-05 (전북2017-13),063-272-9275,전주시 완산구 서곡3길 14-12(효자동3가),2020-10-31
㈜누이단팥빵,식품(음식),지역사회공헌형,지역농산물을 활용한 제과.제빵,2019-05-10(제2019-107호),2016-08-23(전북2016-9),282-0045,"전주시 완산구 홍산3길 17, 1동 101호(효자동3가)",2020-10-31
주식회사지안,교육,사회서비스제공,"위탁교육,심리상담, EAP(근로자지원프로그램)",2019-07-05(제2019-163호),2017-09-05 (전북2017-12),070-4277-6703,전주시 완산구 영선로 7-50,2020-10-31
(유)손수다혜,제조,기타형,"손바느질 DIY 패키지 제작, 판매 및 교육사업과 제품 판매",2019-09-06(제2019-226호),2017-04-01(고용부2017-34),226-8803,"전주시 완산구 천잠로 235, 9102호(효자동2가, 전주비전대학교 미래관)",2020-10-31
(주)전주한옥마을반지만들기솜씨당,기타,기타형,전주 한옥마을 관광상품 DIY 액세서리 패키지 개발 및 유튜브 교육사업,2019-09-06(제2019-228호),2017.06.14(고용부 2017-047),070-5022-4413,전라북도 전주시 완산구 경기전길 175(교동),2020-10-31
(사)전라북도장애인미술협회,문화,일자리제공형,"장애인대상 미술교실 운영, 인쇄물 디자인 제작",2019-11-07제2019-305호,,063-278-5978,전주시 완산구 관선3길 21-51(남노송동),2020-10-31
㈜케이피엠,기타,일자리제공,어린이 놀이시설 개보수 및 안전관리,,2017-03-29       (전북 2017-1),242-2114,전주시 완산구 백마산길 6(효자동 3가),2020-10-31
농업회사법인 우리들녘식품,식품(음식),혼합형,"농산물 건조, 즉석용 비빔밥 제조",,2017-09-05(전북2017-10)18-5-28(산림청 2018-11),070-4141-5656,전주시 덕진구 원장동길 111-18,2020-10-31
㈜에듀원,교육,혼합형,"소공예 직업훈련, 학교방과후 위탁, 아동청소년 창의체험 및 진로체험",,2017-09-05 (전북2017-11),063-252-3113,전주시 완산구 당산로 108,2020-10-31
사단법인전통예술원모악,문화ㆍ예술,기타형,"융복합문화예술교육, 참여형 공연 컨텐츠사업, 퍼레이드형 관광컨텐츠사업",,2018.03.27전북 제2018-01호,063-282-5979,전주시 완산구 현무3길 77-15 4층 ,2020-10-31
주식회사서우,환경,일자리제공형,"건물시설관리, 준공청소, 소방시설관리, 드론이용 방제, 화장실유지관리",,2018.03.27전북 제2018-02호,063-276-3999, 전주시 완산구 꽃밭정5길 5,2020-10-31
㈜제이온,식품(음식),기타형,"안심먹거리 등 지역대표 상품개발을 통한 지역경제활성화, 어린이용쿠키 수출",,2017-01-10(고용부2016-41),278-3200,전주시 완산구 천잠로 303(전주대학 내),2020-10-31
유한회사 오색만나,식품(음식),기타형,"즉석식품제조 가공(도시락, 반찬)",,2018.04.27고용부 제2018-048호,063-221-1589,전라북도 전주시 완산구 화산천변로 55(중화산동2가),2020-10-31
예술로뚝딱협동조합,문화예술,지역사회공헌형,"집수리(경보수), 싱크대 제조",,2018.06.12국토교통부 제2018-018호,063-,전라북도 전주시 완산구 경기전길 29-6,2020-10-31
(사)제이비영상문화연구원,문화예술,기타형,"영상콘텐츠 제작, 영상기록화, 영상교육 사업",,2018.07.18~2021.7.17고용노동부 제2018-064호,063-276-9777,"전라북도 전주시 완산구 서신로 34, 4층 401호",2020-10-31
문화통신사 협동조합,문화예술,기타형,"문화 기획, 교육, 공공디자인, 미디어아트, 홍보소식지 발간, 공연예술 등 문화적 도시재생 사업",,2018.07.18고용노동부 제2018-065호,,"전라북도 전주시 완산구 기린대로 127, 2층(경원동3가)",2020-10-31
(유)뮤지컬수컴퍼니,문화예술,기타형,"뮤지컬 기획, 개발, 제작, 공연, 교육 사업 / 전문인력 양성",,2018.07.18~2021.7.17고용노동부 제2018-066호,063-228-0356,"전라북도 전주시 완산구 전주객사2길 12-4(중앙동1가,3층)",2020-10-31
(유)커넥트마케팅연구소,기타,기타형,"온오프라인 토탈 마케팅, 서비스",,2018.09.04~2021.9.3전북 제2018-9호,,전라북도 전주시 완산구 태평2길 22,2020-10-31
(유)우리에듀,교육,사회서비스제공,장애아동 방과 후 돌봄 및 교육,,2018.09.04~2021.9.3전북 제2018-10호,063-243-3212,전라북도 전주시 덕진구 백제대로 690,2020-10-31
(사)하예랑역사문화연구원,교육,사회서비스제공,지역문화유산자원 콘텐츠 개발,,2018.09.04~2021.9.3전북 제2018-11호,070-7527-6409,전라북도 전주시 완산구 중산9길 7,2020-10-31
㈜릴라이언스,제조,일자리제공형,유/아동 및 성인 의복 제조,,2018.09.04~2021.9.3전북 제2018-12호,070-4151-1398,전라북도 전주시 덕진구 재방마을길 29,2020-10-31
전주행복한돌봄사회적협동조합,간병,기타형,"가사, 간병",,2018.09.04~2021.9.3전북 제2018-13호,,전라북도 전주시 완산구 현무1길 31-7,2020-10-31
사단법인 희망찬코리아,교육,사회서비스제공형,맞춤형 운동재활서비스제공,,2019.4.18~2022.4.17전북 제2019-01호,063-226-8828,"55060 전라북도 전주시 완산구 삼천천변1길, B101호",2020-10-31
유한회사부모마음충전소,교육,창의혁신형,"부모교육, 상담, 부모공동체 운영",,2019.4.18~2022.4.17전북 제2019-02호,,"54966 전라북도 전주시 완산구 효자로 174, 소셜캠퍼스 온 전북 6층 610호",2020-10-31
(유)제이비인터내셔널,유통,일자리제공형,"러시아, 중앙아시아 수출컨설팅 및 대행",,2019.4.18~2022.4.17전북 제2019-03호,070-8288-2358,55006 전라북도 전주시 완산구 물왕멀3길 29,2020-10-31
유한회사 우분투 ,문화예술,창의혁신형,문화예술공연기획,,2019.4.18~2022.4.17전북 제2019-04호,063-221-7993,"55083 전라북도 전주시 완산구 성지산로 62, 상가11동 1층 6호(삼천동1가, 광진목화아파트)",2020-10-31
유한회사하이하우징,제조,일자리제공형,탄소발열체 이용한 바닥난방시공 등,,2019.4.18~2022.4.17전북 제2019-05호,063-288-1206,54850 전라북도 전주시 덕진구 원만성로 106(팔복동 2가) 한국탄소융합기술원 창업보육센터,2020-10-31
전주오피스문구협동조합,유통,일자리제공형,오피스문구 유통사업,,2019.4.18~2022.4.17전북 제2019-06호,063-245-8985,"54913 전라북도 전주시 덕진구 견훤로 352-1, 2층",2020-10-31
사단법인 전통문화콘텐츠연구소 연,문화예술,창의혁신형,전통문화 콘텐츠 개발,,2019.4.18~2022.4.17전북 제2019-07호,063-243-7273,55114 전라북도 전주시 완산구 학봉 1길 5-2,2020-10-31
(유)디모션아트컴퍼니,문화예술,창의혁신형,"공연제작, 무용,연기교육, 축제대회컨텐츠 개발",,2019.6.21~2022.6.20(고용부2019-25),063-255-0403,54946 전주시 완산구 새터로 122-9 예원빌딩 4층,2020-10-31
(유)굿모닝준모닝,문화예술,창의혁신형,"방송광고 영상물 제작, 온오프라인 방송",,2019.6.21~2022.6.20(고용부2019-26),063-282-7778,55043 전주시 완산구 풍남2길 63,2020-10-31
(유)토리앤쿡 ,제조 ,일자리제공형 ,실버전문 사회복지시설 위탁급식,,2019.8.27~2022.8.26(전북제2019-019호) ,063-213-0907,전북 전주시 덕진구 기린대로 586 1층 ,2020-10-31
㈜엑솔 ,기타(서비스),일자리제공형 ,"중소기업, 사회적경제기업 대상 수출 컨설팅 서비스",,2019.8.27~2022.8.26(전북제2019-020호),070-7723-1212,"전북 전주시 덕진구 기린대로 945-6, 158호(소상공인희망센터 미래관) ",2020-10-31
(유)이노컨 ,제조 및 교육 ,창의혁신형 ,"4차산업 교육서비스(드론, 3D프린트, 코딩)",,2019.8.27~2022.8.26(전북제2019-021호),232-7912,전북 전주시 덕진구 기린대로 945-6(소상공인희망센터 희망관),2020-10-31
(유)포스댄스컴퍼니 ,문화예술 ,창의혁신형 ,문화예술 서비스,,2019.8.27~2022.8.26(전북제2019-022호),227-1665,"전북 전주시 완산구 백제대로 265, 3층 ",2020-10-31
온누리에스엠㈜ ,기타(유통),일자리제공형 ,생활용품 생산유통 및 도소매,,2019.8.27~2022.8.26(전북제2019-023호),274-5656,"전북 전주시 덕진구 기린대로 418, 우석빌딩 1층 ",2020-10-31
전북가농영농조합법인 ,농업(농산물),지역사회공헌형 ,농림수산물 가공 및 유통,,2019.8.27~2022.8.26(전북제2019-024호),282-4204,"전북 전주시 완산구 현무1길 40, 카톨릭센터 ",2020-10-31
사회적협동조합 새샘노인복지센터,사회복지서비스,혼합형,"노인주간보호서비스, 방문요양, 방문목욕",,2019.9.30~2022.9.29(보건복지부제2019-21),245-0217,전주시 완산구 고덕산1길 82,2020-10-31
㈜우리요,기타,일자리제공,취업취약계층을 위한 앱 서비스 제공,,2016-03-23(전북2016-3),070-4267-0721,"전주시 완산구 홍산북로 59-11, 5층 (효자동3가)",2020-10-31
(유)사랑나눔,환경,일자리제공,개인정보문서보관 및 문서파쇄서비스,,2014-03-10(전북2014-1),277-5852,"전주시 완산구 전룡6길 13, 2동 403호 (서신동)김제시 금구면 풍요로 822-19",2020-10-31
한국에너지복지센터 사회적협동조합,기타,사회서비스제공,저소득층 에너지효율 개선사업 등,,2013-12-10(보복2014-15),225-0479,전주시 완산구 천잠로 535-5 (효자동3가),2020-10-31
㈜일오삼식품,식품(음식),일자리제공,"식품제조 및 가공업, 도소매업(김, 미역, 수산물)",,2014-09-03(전북2014-10),212-1530f.212-1533,전주시 덕진구 상리1길 7 (팔복동2가),2020-10-31
(사)전북K-스포츠클럽,,사회서비스제공,공공형 체육프로그램 제공,,2015-03-17(전북-2015-1),250-8395,"전주시 덕진구 들사평로 62, 1층 (덕진동1가, 전북체육회관)",2020-10-31
(사)전라북도음식문화관광진흥원,식품(음식),혼합형,음식문화브랜드화 및 개발,,2015-08-06(전북2015-14),246-2223,"전주시 덕진구 아중로 144, 3층 (인후동1가)",2020-10-31
(유)테미즈,기타,일자리제공,전자상거래 및 유통전문 판매,,2015-08-06(전북2015-18),226-3090,전주시 완산구 능안자구길 53 (삼천동3가),2020-10-31
(사)다온복지센터,,혼합형,장애인 영농사업(철분쌀 및 유실수 등 농작물 재배 판매),,2013-09-15(전북2013-51),229-1988,전주시 완산구 맏내4길 6-23,2020-10-31
㈜모모파트너즈,,기타형,커피찌꺼기 재활용 사업,,2013-09-15(전북2013-62),714-2860,전주시 완산구 천잠로 303 전주대 창업보육센터,2020-10-31
전주기전대학학교기업KBIOTEC,,혼합형,발달장애 재활치료(언어 미술 감각통합 등) 서비스,,2013-09-15(전북2013-63),276-6416,전주시 덕진구 송천동 1가 459-1 전주기전대 백합관 2층 JK언어치료교육센터,2020-10-31
(유)웰빙달보드레 베이커리,식품(음식),기타형,"우리밀을 사용하여 제품생산, 판매 유통저소득층과 위기 청소년 직업체험 및 지역사회 연대활동",,2017.06.14(고용부2017-049),063-278-9018,"전라북도 전주시 덕진구 팔달로 364, 1층(금암동, 한교빌딩)",2020-10-31
(사)공연문화발전소 명태,문화예술,혼합형,문화공연 제작 및 문화예술 교육,2012-12-14(2012-130),2011-03-16,274-7114,전주시 완산구 전주객사4길 74-11 (고사동)전주시 덕진구 안덕원로 202-1 (인후동1가),2020-10-31
(유)착한자전거,환경,일자리제공,자전거판매·정비·수리 및 기술교육,2013-11-08(2013-161),2012-03-05,213-0110,"전주시 덕진구 기린대로 451, 159-1호 (덕진동1가, 종합경기장)",2020-10-31
이음,문화예술,기타형,문화를 통한 지역사회통한 프로젝트,2008-04-17(2008-25),,287-6301,전주시 완산구 충경로 106(풍남동3가 33-4),2020-10-31
공동체나눔환경,환경,일자리제공,의류 재활용,2009-07-22(2009-32),,211-8898,전주시 덕진구 고내천변로 388-27,2020-10-31
(사)수을,문화예술,일자리제공,전통가양주 문화보급,2013-12-17(2013-204),2012-03-05,287-6320,전주시 완산구 동문길 50,2020-10-31
(유)가온교육,교육,혼합형,온라인 교육,2012-06-22(2012-39),2010-11-15,247-0982,전주시 덕진구 무삼지로 85,2020-10-31
(유)전주한옥마을공공사업단세탁소,,혼합형,백창현,,2012-03-05,,전북 2013-2,2020-10-31
㈜웰니스,기타,일자리제공,디자인 출판 유통사업,2015-11-20(2015-245),2014-03-10(전북2014-4),222-6870,전주시 완산구 현무3길 98 (서노송동),2020-10-31
